OID_,POINT_X,POINT_Y,Profile_ID,Distance (m),Distance (km),ORIG_SEQ,B2,B3,B4,Benthos,Benthos _label,Bathymetrey 
171,269467.9504,6131867.339,3,1710,1.71,171,201.075119,231.9090424,46.6042824,1,Seagrass,-8.21
172,269458.3086,6131864.687,3,1720,1.72,172,174.9827271,177.0584564,50.8022232,1,Seagrass,-8.21
173,269448.6668,6131862.035,3,1730,1.73,173,206.6976013,214.9803925,56.1247139,1,Seagrass,-8.21
174,269439.025,6131859.382,3,1740,1.74,174,212.5541992,252.2428284,57.7280807,1,Seagrass,-8.21
175,269429.3832,6131856.73,3,1750,1.75,175,219.7186279,264.9503174,57,1,Seagrass,-8.21
176,269419.7413,6131854.077,3,1760,1.76,176,229.0196228,263.7849426,56.9562531,1,Seagrass,-8.21
177,269410.0995,6131851.425,3,1770,1.77,177,242.203186,278.9248047,57,1,Seagrass,-8.21
178,269400.4577,6131848.772,3,1780,1.78,178,270.5179443,308.3117676,57,1,Seagrass,-8.21
179,269390.8159,6131846.12,3,1790,1.79,179,280.8615417,321.6143799,57,1,Seagrass,-8.21
180,269381.1741,6131843.468,3,1800,1.8,180,252.8090668,299.754425,56.3777771,1,Seagrass,-8.21
181,269371.5323,6131840.815,3,1810,1.81,181,196.8622742,219.9889679,53.0320282,1,Seagrass,-8.21
182,269361.8904,6131838.163,3,1820,1.82,182,107.5947723,132.2886047,50.3335381,1,Seagrass,-8.21
183,269352.2486,6131835.51,3,1830,1.83,183,82.3345871,86.4599838,49.4067993,1,Seagrass,-8.21
184,269342.6068,6131832.858,3,1840,1.84,184,66.1883316,84.0813828,52.3306503,1,Seagrass,-8.21
185,269332.965,6131830.206,3,1850,1.85,185,72.0038452,83.7430038,56.5205612,1,Seagrass,-8.21
186,269323.3232,6131827.553,3,1860,1.86,186,73.4162521,80.6938705,57.5146904,1,Seagrass,-8.21
187,269313.6813,6131824.901,3,1870,1.87,187,72.27314,70.6217041,62.5474281,1,Seagrass,-8.21
188,269304.0395,6131822.248,3,1880,1.88,188,85.3251953,83.7709885,58.7433205,1,Seagrass,-8.21
189,269294.3977,6131819.596,3,1890,1.89,189,157.7613068,193.6584167,57.3320389,1,Seagrass,-8.21
190,269284.7559,6131816.943,3,1900,1.9,190,244.7178345,273.1732483,54.4302711,1,Seagrass,-8.21
191,269275.1141,6131814.291,3,1910,1.91,191,151.7352905,152.0417633,47.7237167,1,Seagrass,-8.21
192,269265.4722,6131811.639,3,1920,1.92,192,116.0600739,140.91362,52.875576,1,Seagrass,-8.21
193,269255.8304,6131808.986,3,1930,1.93,193,101.6925812,126.3995972,57.1669083,1,Seagrass,-8.21
194,269246.1886,6131806.334,3,1940,1.94,194,84.8083496,84.2091141,57.0158539,1,Seagrass,-8.21
195,269236.5468,6131803.681,3,1950,1.95,195,59.8567772,67.7234497,50.5922546,1,Seagrass,-8.21
196,269226.905,6131801.029,3,1960,1.96,196,59.8105774,71.1797409,44.6797104,1,Seagrass,-8.21
197,269217.2632,6131798.377,3,1970,1.97,197,74.7354889,64.7129059,47.0539436,1,Seagrass,-8.21
198,269207.6213,6131795.724,3,1980,1.98,198,121.4778442,130.1410522,47.3500061,1,Seagrass,-8.21
199,269197.9795,6131793.072,3,1990,1.99,199,202.8603821,220.5645294,48.4733696,1,Seagrass,-8.21
200,269188.3377,6131790.419,3,2000,2,200,240.0338593,269.2647705,50.747879,1,Seagrass,-8.21
201,269178.6959,6131787.767,3,2010,2.01,201,241.9095001,288.5728455,53.5192299,1,Seagrass,-8.21
202,269169.0541,6131785.114,3,2020,2.02,202,256.5393982,291.7763367,51.2061768,1,Seagrass,-8.21
203,269159.4122,6131782.462,3,2030,2.03,203,269.9484863,282.5012512,48.1119804,1,Seagrass,-8.21
204,269149.7704,6131779.81,3,2040,2.04,204,246.1339417,255.7359009,48,1,Seagrass,-8.21
205,269140.1286,6131777.157,3,2050,2.05,205,185.8491058,182.502655,48,1,Seagrass,-8.21
206,269130.4868,6131774.505,3,2060,2.06,206,134.7309723,138.062088,48.2204742,1,Seagrass,-8.21
207,269120.845,6131771.852,3,2070,2.07,207,160.6515808,176.8009033,48.9199142,1,Seagrass,-8.21
208,269111.2032,6131769.2,3,2080,2.08,208,203.8797607,216.2130432,47.7797813,1,Seagrass,-8.21
